country,region,LifeLadder,change7,forn_ladder,local_ladder,SE_life,LnGDPpc ,GDPpc,LifeExp,SocSupp,SEsoc,LifeChoice,SEChoice,Generosity,SEGen,Corruption,SECorr,OECD,Power
Belarus,Commonwealth of Independent States,5.483326435,-0.033903599,5.715252876,5.560955524,0.037971057,9.733157158,16867.72266,66.03050995,0.917586327,0.00575322,0.632646799,0.010505991,0.217487231,0.008474287,0.661701798,0.010528161,0,0
Belgium,Western Europe,6.926885605,-0.058149338,6.600972652,7.076344013,0.03471959,10.64765549,42093.78906,72.14292908,0.911503732,0.006721443,0.864310026,0.007992961,0.421579719,0.010977175,0.502901018,0.010070165,1,0
Belize,Latin America and Caribbean,5.955646515,,5.803544998,6.275708675,0.123082891,8.987882614,8005.488281,58.92390823,0.755414307,0.022627901,0.872770309,0.017560268,0.286091298,0.022734288,0.783099353,0.019373059,0,0
Benin,Sub-Saharan Africa,4.141364098,0.474224567,4.014713287,3.731558084,0.057954617,7.610313416,2018.910767,51.5617981,0.457777113,0.01171486,0.744072258,0.010327199,0.149063423,0.008422114,0.823281527,0.008609599,0,0
Bhutan,South Asia,5.082128525,,,,0.05788935,8.954587936,7743.336426,60.56794357,0.850920916,0.014276964,0.829656422,0.014804583,0.563592196,0.019132426,0.631327808,0.018974507,0,0
Bolivia,Latin America and Caribbean,5.751889706,0.029497147,,,0.045960478,8.809252739,6695.913574,59.99578857,0.805337012,0.008782043,0.883693457,0.007219996,0.209027827,0.009095457,0.847298145,0.006828548,0,0
Bosnia and Herzegovina,Central and Eastern Europe,5.129354,0.313358307,5.361415386,5.003958702,0.048308451,9.335348129,11331.57227,67.83827209,0.74608314,0.00916943,0.609956622,0.010363617,0.363586843,0.009912129,0.946652532,0.004430055,0,0
Botswana,Sub-Saharan Africa,3.58982873,-0.911104918,4.495828629,4.020794868,0.058359567,9.661838531,15706.63574,57.10570526,0.785132468,0.009396764,0.842526436,0.008382399,0.119786821,0.007107093,0.77634877,0.009078892,0,0
Brazil,Latin America and Caribbean,6.418890476,-0.424095154,,,0.049110029,9.563308716,14232.86133,65.244133,0.90800184,0.005493432,0.789254189,0.008672231,0.217360467,0.008557162,0.784572959,0.00792969,0,0
Bulgaria,Central and Eastern Europe,4.933124542,1.020848274,,,0.045322523,9.783441544,17737.5918,66.4154892,0.924724042,0.005930664,0.675944567,0.010527188,0.162422732,0.007633194,0.929407775,0.005334642,0,0
Burkina Faso,Sub-Saharan Africa,4.42439127,0.482404232,4.146365166,4.085146427,0.04733783,7.404325962,1643.077026,51.99110031,0.753720284,0.009792631,0.636307597,0.011086731,0.152457878,0.008027819,0.710499942,0.010220274,0,0
Burundi,Sub-Saharan Africa,2.904535055,-0.773024559,,,0.086576715,6.688570023,803.1729126,48.56855774,0.56173259,0.018423878,0.428722262,0.018433142,0.054393403,0.008235759,0.806447208,0.01538913,0,0
Cambodia,Southeast Asia,4.4325881,0.193669796,,,0.052626029,8.159075737,3494.954834,58.37112808,0.750254333,0.008240192,0.959941328,0.003776341,0.336479425,0.009455299,0.826803446,0.007279823,0,0
Cameroon,Sub-Saharan Africa,4.975327015,0.445079327,5.128080368,4.558313847,0.058654997,8.114089012,3341.212402,49.73516464,0.66957283,0.010617674,0.755737603,0.009808465,0.220446259,0.009532883,0.866538763,0.007191713,0,0
Canada,North America and ANZ,7.328528404,-0.212795258,7.218836784,7.486275673,0.047058839,10.66978168,43035.54688,72.19080353,0.931540191,0.007017951,0.923505962,0.010606041,0.625681043,0.015014038,0.40965575,0.016225863,1,1
Central African Republic,Sub-Saharan Africa,3.082997561,-0.484894991,,,0.073256053,6.473706245,647.8804932,44.31241989,0.305565357,0.012695877,0.630962014,0.013776702,0.167455778,0.010431733,0.875871241,0.008499442,0,0
Chad,Sub-Saharan Africa,4.300587177,0.295659065,4.338773251,4.019832611,0.061168,7.546162128,1893.461914,45.65771484,0.676192522,0.011011134,0.533072293,0.011766869,0.171422482,0.008913115,0.835992634,0.008354159,0,0
Chile,Latin America and Caribbean,6.476189137,0.186398983,6.495269299,6.424629688,0.045219731,10.0303154,22704.43164,69.43771362,0.849452078,0.008088841,0.736905336,0.009945803,0.387090564,0.010806839,0.834768057,0.007236748,1,0
China,East Asia,5.245798111,0.591510773,,,0.024825251,9.574295998,14390.10352,69.15530396,0.77220428,0.004847451,0.876166463,0.007079293,0.09170004,0.003487432,,,0,1
Colombia,Latin America and Caribbean,6.260081768,-0.022535324,,,0.050131947,9.48151207,13115.00195,63.98257065,0.893501878,0.006083904,0.821186841,0.008371973,0.191339627,0.00827097,0.873871207,0.005791988,0,0
Congo (Brazzaville),Sub-Saharan Africa,4.558671474,0.738879204,4.426772118,4.253243446,0.06583748,8.586006165,5356.179199,54.78947067,0.636860967,0.010971786,0.806351066,0.009093996,0.112148799,0.006983248,0.803959429,0.00903197,0,0
Congo (Kinshasa),Sub-Saharan Africa,4.244946003,0.261097431,4.636068821,4.341638088,0.048918266,6.619260788,749.3909302,50.42560196,0.769605279,0.01018818,0.636904776,0.011282383,0.123985462,0.007532867,0.850198269,0.007830506,0,0
Costa Rica,Latin America and Caribbean,7.07165432,-0.175240517,6.725842476,7.248905659,0.045011524,9.64099884,15382.70117,69.69971466,0.901704073,0.005970793,0.905381024,0.006581774,0.274674296,0.009664649,0.760924518,0.007942741,0,0
Croatia,Central and Eastern Europe,5.321210384,-0.197666645,5.367807865,5.5273242,0.039393548,9.977690697,21540.51172,67.19174194,0.77996558,0.009555951,0.694128335,0.010410419,0.2640149,0.00938084,0.874756753,0.006277179,0,0
Cyprus,Western Europe,5.762533665,-0.772998333,6.337440491,6.026050568,0.055097573,10.34348869,31054.17969,72.60899353,0.792133808,0.009105959,0.729775667,0.009665714,0.422272146,0.01063052,0.882088602,0.006412779,0,0
Czech Republic,Central and Eastern Europe,6.710904598,0.461287022,5.880164623,6.508507252,0.036595792,10.35843086,31521.67969,70.87612152,0.91413635,0.005560473,0.830621243,0.008171855,0.206805915,0.008231702,0.884560943,0.005951305,1,0
Denmark,Western Europe,7.555277824,-0.253184795,7.546741009,7.705682755,0.03468943,10.73639584,45999.96094,71.31227112,0.955462277,0.004485819,0.948895276,0.004694763,0.579054058,0.010584872,0.193662241,0.008052564,1,0
Dominican Republic,Latin America and Caribbean,5.301772118,0.297864437,5.239485264,5.139005184,0.063123763,9.549773216,14041.50977,63.33527756,0.89428401,0.006096713,0.860594034,0.007304415,0.230584472,0.00878597,0.751462996,0.007665529,0,0
Ecuador,Latin America and Caribbean,5.973180771,0.254607201,6.294020653,5.790233612,0.052390978,9.252638817,10432.05762,67.146492,0.849092364,0.00726243,0.841979861,0.007817583,0.198478401,0.008398355,0.724856436,0.008497999,0,0
Egypt,Middle East and North Africa,4.419177055,-0.401822567,5.276704788,4.468319416,0.04646603,9.240495682,10306.14551,61.41292572,0.724412739,0.009262842,0.636678874,0.010321315,0.164250925,0.007495306,0.749844432,0.010842848,0,1
El Salvador,Latin America and Caribbean,6.166780949,-0.091554642,,,0.053808879,8.984984398,7982.320313,64.09542847,0.808451772,0.008322719,0.761672378,0.009225001,0.101884641,0.006355684,0.794663727,0.007517091,0,0
